Band,URL,Date
Insomnium,https://www.dropbox.com/s/n1p5rcbpkgsq9im/Insomnium.txt?dl=1,2022-11-13
Nightwish,https://www.dropbox.com/s/pkrh62rdod1w58j/Nightwish.txt?dl=1,2022-11-12
Rotting Christ,https://www.dropbox.com/s/dgnas85r5ffgukp/Rotting%20Christ.txt?dl=1,2022-11-13
Manegarm,https://www.dropbox.com/s/8w4hgrff00y6gwr/Manegarm.txt?dl=1,2022-11-12
Korpiklaani,https://www.dropbox.com/s/x8sn3030v8w3p04/Korpiklaani.txt?dl=1,2022-11-12
Kamelot,https://www.dropbox.com/s/iu10ow22rfkub9o/Kamelot.txt?dl=1,2022-11-12
Kreator,https://www.dropbox.com/s/wam9v2ucs89le76/Kreator.txt?dl=1,2022-11-12
Novembre,https://www.dropbox.com/s/10wccax7urxndfk/Novembre.txt?dl=1,2022-11-12
Uli Jon Roth,https://www.dropbox.com/s/syvisjjnn2798pa/Uli%20Jon%20Roth.txt?raw=1,2022-11-12
Fallujah,https://www.dropbox.com/s/ef9akhox57hf63j/Fallujah.txt?raw=1,2022-11-12
Warbringer,https://www.dropbox.com/s/cov548ev9nmieop/Warbringer.txt?raw=1,2022-11-12
Obscura,https://www.dropbox.com/s/d86rdt9xl4exyi6/Obscura.txt?raw=1,2022-11-12
Sat Roof-Top Party,https://www.dropbox.com/s/bgosrmj1jyqyelh/roofTopParty2023.txt?raw=1,2022-11-12
Sun Beach Party,https://www.dropbox.com/s/59k3m3ng98u57da/beachParty2023.txt?raw=1,2022-11-12
Sun Group Photo,https://www.dropbox.com/s/gdqezfd97jx9yjt/beachPhotoDescription2023.txt?raw=1,2022-11-13
Sun Live Band Karaoke,https://www.dropbox.com/s/7dfo0yy23h45d59/mainPreParty2023-2.txt?raw=1,2022-11-13
Sun Mortician Pre-Show,https://www.dropbox.com/s/rvcdo9wrofwyd18/ClubShowText.txt?raw=1,2022-11-12
Sat Judas Priest Tribute,https://www.dropbox.com/s/ukyldrop3wkbxry/judasPriestShow.txt?raw=1,2022-11-12
Evergrey,https://www.dropbox.com/s/w0wsvb06kxeuxw3/Evergrey.txt?raw=1,2022-11-13
Melechesh,https://www.dropbox.com/s/dt2fb8uyoa9wc23/Melechesh.txt?raw=1,2022-11-15
Nightmare,https://www.dropbox.com/s/3bn3s236eqbseq2/Nightmare.txt?dl=1,2022-11-14
Oceans Of Slumber,https://www.dropbox.com/s/1r5dl1o8gfvegy3/Oceans%20of%20Slumber.txt?raw=1,2022-11-15
Feuerschwanz,https://www.dropbox.com/s/jv1ykfijbbug3y7/Feuerschwanz.txt?raw=1,2022-11-15
Jungle Rot,https://www.dropbox.com/s/np6xdch95o2m7uw/Jungle%20Rot.txt?dl=1,2022-11-15
Sirenia,https://www.dropbox.com/s/343pz5db9ckbbrf/Sirenia.txt?raw=1,2022-11-16
Visions Of Atlantis,https://www.dropbox.com/s/h9tw3sxkbbzstq2/Visions%20of%20Atlantis.txt?raw=1,2022-11-17
Abysmal Dawn,https://www.dropbox.com/s/ie6q3hymmqz4u12/Abysmal%20Dawn.txt?raw=1,2022-11-20
Amorphis,https://www.dropbox.com/s/6vjjywowz3a1wns/Amorphis.txt?raw=1,2022-11-21
Cynic,https://www.dropbox.com/s/ompkgzwl40pnntv/Cynic.txt?raw=1,2022-11-25
Decrepit Birth,https://www.dropbox.com/s/3913ne5oe0lealq/Decrepit%20Birth.txt?raw=1,2022-11-25
Destruction,https://www.dropbox.com/s/26doem1b6bxmswb/Destruction.txt?raw=1,2022-11-25
Fractal Universe,https://www.dropbox.com/s/yli71rvt7p9e5i3/Fractal%20Universe.txt?raw=1,2022-11-27
Sat Hollywood Pre Party,https://www.dropbox.com/s/1prtxylh3lgl6zs/hollywood_pre_party.txt?raw=1,2022-11-27
Fri Hollywood Post Party,https://www.dropbox.com/s/5znfd7kbn80hhvk/hollywood_post_party.txt?raw=1,2022-11-28
The Crown,https://www.dropbox.com/s/f2vg3u5hpeov7qx/The%20Crown.txt?dl=1,2022-12-28
Keep of Kalessin,https://www.dropbox.com/s/m6zyu74d2sbszna/Keep%20Of%20Kalessin.txt?dl=1,2022-12-29
Cryptosis,https://www.dropbox.com/s/nk0r1bhjdjb6g98/Cryptosis.txt?dl=1,2022-12-29
Iron Savior,https://www.dropbox.com/s/6poo99lgr8aztt5/Iron%20Savior.txt?dl=1,2023-01-02
God Dethroned,https://www.dropbox.com/s/rkwbag3s25qw5hf/God%20Dethroned.txt?dl=1,2023-01-02
Freedom Call,https://www.dropbox.com/s/ae9se396lpglrpp/Freedom%20Call.txt?dl=1,2023-01-03
Vreid,https://www.dropbox.com/s/3qwa7aaa0hh50ck/Vreid.txt?dl=1,2023-01-03
Wolfchant,https://www.dropbox.com/s/hhwps1k970qbm0p/Wolfchant.txt?dl=1,2023-01-04
Batushka,https://www.dropbox.com/s/2wdswkaw3h9m5li/Batushka.txt?dl=1,2023-01-04
Amberian Dawn,https://www.dropbox.com/s/4tjftx5zi6lcih8/Amberian%20Dawn.txt?dl=1,2023-01-05
Elvenking,https://www.dropbox.com/s/gy81sl0bj2syjkp/Elvenking.txt?dl=1,2023-01-05
Cancer,https://www.dropbox.com/s/3hs66wj7rr7a1m1/Cancer.txt?dl=1,2023-01-07
Nothgard,https://www.dropbox.com/s/7xbmfydgjsjkvn4/Nothgard.txt?dl=1,2023-01-07
Atrocity,https://www.dropbox.com/s/n2r5n6ausamha2k/Atrocity.txt?dl=1,2023-01-07
Dear Mother,https://www.dropbox.com/s/w8oj8x36sjb5zry/Dear%20Mother.txt?dl=1,2023-01-14
Deathless Legacy,https://www.dropbox.com/s/hi6fisppm5xl2q7/Deathless%20Legacy.txt?dl=1,2023-01-14
Edge Of Paradise,https://www.dropbox.com/s/2uy82lb42c19bgy/Edge%20Of%20Paradise.txt?dl=1,2023-01-15
Eleine,https://www.dropbox.com/s/bmvrdl6yeh17or6/Eleine.txt?dl=1,2023-01-15
Empress,https://www.dropbox.com/s/j4ywljc4o0gxgx6/Empress.txt?dl=1,2023-01-15
Eshtadur,https://www.dropbox.com/s/1nn7lwtio0fr47j/Eshtadur.txt?dl=1,2023-01-16
Heian,https://www.dropbox.com/s/37ekii58yt1rgb0/Heian.txt?dl=1,2023-01-16
Hideous Divinity,https://www.dropbox.com/s/3saxkn515ae8ix8/Hideous%20Divinity.txt?dl=1,2023-01-16
Isole,https://www.dropbox.com/s/jp60zntds2ddu20/Isole.txt?dl=1,2023-01-16
Osyron,https://www.dropbox.com/s/sbxyw6miiyt4clz/Osyron.txt?dl=1,2023-01-16
Sun Metal Beach Yoga,https://www.dropbox.com/s/5t50hg5mxzlv14m/BeachYoga.txt?raw=1,2023-01-22
Belphegor,https://www.dropbox.com/s/jmapwbkcdnrk0mx/Belphegor.txt?dl=1,2023-01-22
Bodyfarm,https://www.dropbox.com/s/hs4g939gjbefect/Bodyfarm.txt?dl=1,2023-01-22
Dark Tranquillity,https://www.dropbox.com/s/3uwjoinxkj3jzeg/Dark%20Tranquillity.txt?dl=1,2023-01-22
Dragonforce,https://www.dropbox.com/s/kpzoy7jfjagwqrq/DragonForce.txt?dl=1,2023-01-22
Vicious Rumors,https://www.dropbox.com/s/iegsss5w0gqsjui/Vicious%20Rumors.txt?dl=1,2023-01-23
Wormed,https://www.dropbox.com/s/lh687ocgxk6fxfd/Wormed.txt?dl=1,2023-01-23
Internal Bleeding,https://www.dropbox.com/s/7yql605p14r5vt4/Internal%20Bleeding.txt?dl=1,2023-01-25
Hypocrisy,https://www.dropbox.com/s/3yswh52gswazf89/Hypocrisy.txt?dl=1,2023-01-26
Nuclear,https://www.dropbox.com/s/dge974alhzkq439/Nuclear.txt?dl=1,2023-01-26
Karaoke,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,2023-01-27
Karaoke Day 2,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,2023-01-28
Karaoke Day 3,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,2023-01-28
Belly Flop Contest,https://www.dropbox.com/s/p043qh3mzjoloke/70K%20All%20Brutal%20Belly%20Flop%20Bonanza.txt?raw=1,2023-01-27
All Star Jam,https://www.dropbox.com/s/sx91i6btlmuh27m/Jamming%20In%20International%20Waters.txt?raw=1,2023-01-27
Skipper's Thank You,https://www.dropbox.com/s/5vyfygh4mu7nzl9/Skipper%20Thank%20You.txt?raw=1,2023-01-27
Closing Karaoke,https://www.dropbox.com/s/gys34ijb37dvqg5/AllNightKaraokeKillchain.txt?raw=1,2023-01-27
Skiltron,https://www.dropbox.com/s/849hb8ngvi1zzan/Skiltron.txt?dl=1,2023-01-27
Sight Of Emptiness,https://www.dropbox.com/s/01onfrf6nouxn5d/Sight%20Of%20Emptiness.txt?dl=1,2023-01-27

